product_id_A,category_A,product_id_B,category_B,avg_price_A,avg_price_B,avg_total_freight,product_similarity,bundle_effectiveness,price_ratio,total_bundle_cost,freight_to_price_ratio
0011c512eb256aa0dbbb544d8dffcf6e,auto,401717fdb76bea40aad511f64ab03c92,auto,52.0,19.0,15.8,1,0,2.7366980685227094,71.0,0.22253207701299982
0011c512eb256aa0dbbb544d8dffcf6e,auto,5a6849f9db912b68be72145d959d61d2,auto,52.0,19.0,15.8,1,0,2.7366980685227094,71.0,0.22253207701299982
0011c512eb256aa0dbbb544d8dffcf6e,auto,cae8c962ad47ff05a508e6fec4146e1a,auto,52.0,29.0,15.8,1,0,1.7930416192545084,81.0,0.19505932025530548
001b72dfd63e9833e8c02742adf472e3,furniture_decor,e19ddcc85537b41f22116c8d5425ef46,furniture_decor,34.99,29.99,9.9,1,0,1.1666833383348338,64.98,0.1523522260353026
0042f1a9a7e0edd1400c6cd0fda065f8,health_beauty,3e45fc327c9740f1ae03383a8e201968,perfumery,39.9,22.89,7.0,0,0,1.743043117382377,62.79,0.11148094472137728
005030ef108f58b46b78116f754d8d38,perfumery,51250f90d798d377a1928e8a4e2e9ae1,perfumery,13.99,13.99,7.78,1,0,0.9999285254806661,27.98,0.27804581680426005
005030ef108f58b46b78116f754d8d38,perfumery,75c06ee06b201f9b6301d2b5e72993f8,perfumery,13.99,13.99,7.78,1,0,0.9999285254806661,27.98,0.27804581680426005
0060b415594c5e1200324ef1a18493c4,sports_leisure,1b9257f42072f68e325a4dc79dd99ae4,sports_leisure,69.99,159.99,9.32,1,0,0.4374621072435324,229.98000000000002,0.040525086855001065
007c63ae4b346920756b5adcad8095de,housewares,38add59349dc5b9c3effc6b93925cb97,furniture_decor,79.99,36.0,20.0,0,0,2.2218827254798477,115.99,0.17242717107361777
007c63ae4b346920756b5adcad8095de,housewares,7efd6fed8c0563a28c70b4eef35ba25d,housewares,79.99,29.9,19.26,1,0,2.6751613658406073,109.88999999999999,0.17526458035689912
00ba6d766f0b1d7b78a5ce3e1e033263,housewares,b931645cdc2d9868f01544e8db63f5ab,garden_tools,47.99,69.0,20.63,0,1,0.6954971667077289,116.99000000000001,0.1763383508133104
00ba6d766f0b1d7b78a5ce3e1e033263,housewares,cd489785324bc65510f5a0ea2382f1d3,housewares,47.99,70.0,14.36,1,1,0.6855616348337881,117.99000000000001,0.12170419777779659
00ba6d766f0b1d7b78a5ce3e1e033263,housewares,ff95ac47246ef13e48712ea1ff8df0d9,housewares,47.99,71.0,14.36,1,1,0.6759059731553076,118.99000000000001,0.12068139607197181
00d2fa6f2a87633084c8e0400d41a65a,bed_bath_table,59ae536b07c3621a400369e60805398b,bed_bath_table,113.9,69.9,34.28,1,0,1.6294473612680789,183.8,0.18650605818249083
00f42e56821b1779fbf397fe72639054,furniture_decor,e357a8646a17191f03fd9f833a0fa29b,furniture_decor,99.99,99.9,24.75,1,0,1.0008908819731532,199.89,0.12381748052688715
00faa46f36261af8bbf3a4d37fa4841b,fashion_bags_accessories,362052fcdf7c9e3596a0a6c97536cdc3,fashion_bags_accessories,270.0,270.0,16.59,1,0,0.9999962963100137,540.0,0.030722165329323467
